"","X","CENTRE_NAME","EAST","NORTH","CENTRE_SIZE","pop","coords.x1","coords.x2"
"1",1,"Acomb - York",457241,450979,44,1252.59085697616,457241,450979
"2",2,"Armley",427494,433370,39,934.75332785887,427494,433370
"3",3,"Baildon",414838,439072,13,1265.9598525845,414838,439072
"4",4,"Batley",424132,424332,53,1254.48586428588,424132,424332
"5",5,"Beeston - Leeds",428481,430305,30,1082.92828689128,428481,430305
"6",6,"Bingley",411278,439502,29,692.009991619258,411278,439502
"7",7,"Birstall - West Yorkshire",422713,426236,25,814.286593057292,422713,426236
"8",8,"Birstall Shopping Park",423502,427801,33,941.055910641888,423502,427801
"9",9,"Bowling - Bradford",418078,431957,15,998.846565450493,418078,431957
"10",10,"Bradford",416076,433206,191,1480.93067777159,416076,433206
"11",11,"Bramley - West Yorkshire",424263,434844,29,1152.71869222809,424263,434844
"12",12,"Bridlington",518103,467444,103,840.198150202126,518103,467444
"13",13,"Brighouse",414639,423079,57,770.46859815273,414639,423079
"14",14,"Buttershaw",413546,430507,19,942.107685262355,413546,430507
"15",15,"Castleford",443034,425409,101,940.156976420537,443034,425409
"16",16,"Chapel Allerton",430722,437204,33,917.697833440987,430722,437204
"17",17,"Cleckheaton",418595,425362,30,1050.44468963123,418595,425362
"18",18,"Clifton Moor Retail Park",458886,455461,37,821.615774543086,458886,455461
"19",19,"Cross Gates",435958,434561,79,1087.13665987114,435958,434561
"20",20,"Crown Point Retail Park",430377,432595,32,752.492315614008,430377,432595
"21",21,"Dewsbury",424196,421688,92,955.146422944338,424196,421688
"22",22,"Easingwold",452715,469759,18,1075.47912919634,452715,469759
"23",23,"Eccleshill",417189,435429,27,1026.66727216297,417189,435429
"24",24,"Elland",411027,420679,16,1160.83790194898,411027,420679
"25",25,"Filey",511292,480830,14,988.578645123238,511292,480830
"26",26,"Flanshaw",431264,421078,26,1100.72159444675,431264,421078
"27",27,"Garforth",440424,433044,37,1217.15387242914,440424,433044
"28",28,"Girlington",413641,434281,25,861.809232060634,413641,434281
"29",29,"Guiseley",418817,442045,24,743.080129225562,418817,442045
"30",30,"Halifax",408957,425163,166,1009.34523443767,408957,425163
"31",31,"Harehills",432746,434554,25,952.8586887121,432746,434554
"32",32,"Harrogate",429928,455215,307,891.422348997949,429928,455215
"33",33,"Haxby",460555,457800,23,913.337936508644,460555,457800
"34",34,"Headingley",427998,436257,67,870.105670640753,427998,436257
"35",35,"Hebden Bridge",399215,427334,19,1145.35014947709,399215,427334
"36",36,"Heckmondwike",421254,423602,26,1230.38235081744,421254,423602
"37",37,"Holmfirth",414206,408024,30,1198.43207308916,414206,408024
"38",38,"Horsforth",424004,438316,44,914.097378101624,424004,438316
"39",39,"Huddersfield",414387,416681,268,1247.66082017068,414387,416681
"40",40,"Ilkley",411910,447845,72,944.130743629146,411910,447845
"41",41,"Junction 32 Factory Outlet",443776,424157,78,1351.58061796214,443776,424157
"42",42,"Keighley",405929,441102,128,1112.14921817761,405929,441102
"43",43,"Knaresborough",435451,457086,46,909.443205489368,435451,457086
"44",44,"Knottingley",449904,423505,12,833.591340776434,449904,423505
"45",45,"Leeds",429812,433895,666,766.685890583059,429812,433895
"46",46,"Lidget Park",432078,438189,28,786.881883922341,432078,438189
"47",47,"Malton",478444,472029,36,687.243589785799,478444,472029
"48",48,"Middleton - West Yorkshire",429932,427848,9,1231.30739943004,429932,427848
"49",49,"Mirfield",420115,420458,27,1166.40942571448,420115,420458
"50",50,"Monks Cross Shopping Park",462689,455171,40,954.534261715049,462689,455171
"51",51,"Moortown - Leeds",430647,438490,23,1053.22747233442,430647,438490
"52",52,"Morley",426427,428128,69,924.659456283274,426427,428128
"53",53,"Normanton - West Yorkshire",438913,422758,29,1488.27292577892,438913,422758
"54",54,"Ossett",428443,420519,50,840.932176548926,428443,420519
"55",55,"Otley - West Yorkshire",420038,445338,41,989.024505257684,420038,445338
"56",56,"Pocklington",480322,449026,33,1050.02826457083,480322,449026
"57",57,"Pontefract",445530,421571,112,1123.64865871325,445530,421571
"58",58,"Potternewton",431064,435778,24,965.475299470829,431064,435778
"59",59,"Pudsey",422239,433033,37,555.219945198013,422239,433033
"60",60,"Ripon",430609,470951,71,747.277123005883,430609,470951
"61",61,"Rothwell - West Yorkshire",434195,428429,38,1071.74577919427,434195,428429
"62",62,"Roundhay",433131,436687,37,997.790904306867,433131,436687
"63",63,"Saltaire",413456,437463,15,811.870167476278,413456,437463
"64",64,"Scarborough",503907,487722,221,976.834935568609,503907,487722
"65",65,"Selby",461457,431985,76,837.006258226016,461457,431985
"66",66,"Shipley",415142,437299,52,1048.45269617194,415142,437299
"67",67,"Skipton",398900,451506,108,714.9803210535,398900,451506
"68",68,"South Elmsall",446926,410858,32,1073.18822460984,446926,410858
"69",69,"Sowerby Bridge",406344,423851,19,1049.68252977452,406344,423851
"70",70,"Thirsk",442766,482307,39,1013.05763633432,442766,482307
"71",71,"Thornbury - West Yorkshire",418452,433541,8,1003.83127833205,418452,433541
"72",72,"Wakefield",433222,420703,204,1051.46767543111,433222,420703
"73",73,"Wetherby",439995,448777,62,870.19798445822,439995,448777
"74",74,"Whitby - North Yorkshire",489394,510624,64,976.166247516392,489394,510624
"75",75,"White Rose Shopping Centre - Leeds",428141,429147,108,1132.82713997882,428141,429147
"76",76,"Woodhouse - Leeds",429507,435273,12,1220.19382043882,429507,435273
"77",77,"Yeadon",420726,441172,38,1028.75429615161,420726,441172
"78",78,"York",460200,451673,439,976.44928036681,460200,451673
"79",79,"York Factory Outlet",460524,447946,100,817.586326610332,460524,447946
